,dna病毒,h1n1,h3n2,m1病毒,奥司他韦,爆发,北京apec,北京奥运会,北京爆炸事件,北京冬奥会,北京枪击,北京世锦赛,北京世园会,北京特大暴雨,北京雪灾,北京亚运会,北京博览园,产能过剩,朝鲜核问题,传染病,次贷危机,次级贷款,地震,地质灾害,对华战争,发热,反恐,房地产,感冒,感染,股价指数,关税,冠状病毒,国际会议,国际恐怖主义,黑死病,呼吸器,华为,火山爆发,货币贬值,货币危机,脊髓灰质炎,金融风暴,金融危机,禁韩令,经济危机,军团菌肺炎,恐怖袭击,恐怖主义,恐怖组织,流感病毒,流感疫苗,流感症状,流行病毒,麻疹,贸易,贸易赤字,贸易战,孟晚舟,男篮世界杯,欧债危机,禽流感病毒,圈地运动,全球股灾,全球金融危机,人民币,萨德部署,萨德事件,失业,手足口病,死亡人数,突变,瘟疫,限韩令,腺病毒,药物,乙肝病毒,疫苗接种,游行,债务,债务危机,占领华尔街,中美关系,中欧关系,中日关系,中印关系,猪流感,注射
,DNA_virus,h1n1,h3n2,M1_virus,Oseltamivir,Outbreak,Beijing_APEC,Beijing_Olympic_Games,Beijing_explosion,Beijing_Winter_Olympic_Games,Shooting_in_Beijing,Beijing_World_Championships,Beijing_World_Horticultural_Exposition,Heavy_rain_in_Beijing,Snow_disaster_in_Beijing,Beijing_Asian_Games,Beijing_Expo_Park,excess_production_capacity,North_Korea_nuclear_issue,Infectious_Diseases,subprime_crisis_,Subprime_loans,earthquake,geologic_hazard_,The_war_against_China,fever,counter-terrorism,real_estate,cold,Infected,Stock_index,tariff,coronavirus,international_conference_,international_terrorism,Black_Death,respirator,Huawei,Volcano_eruption,currency_devaluation,Currency_crisis,poliomyelitis,financial_crisis_,financial_crisis,Ban_on_Korea,economic_crisis,legionaires_disease_,terrorist_attack,terrorism,Terrorist_organizations,influenza_virus,influenza_vaccine,Flu_symptoms,Epidemic_virus,measles,Trade,trade_deficit,trade_war,Meng_Wanzhou,Men's_Basketball_World_Cup,European_debt_crisis,Avian_influenza_virus,Enclosure_movement,Global_stock_market_crash,Global_financial_crisis,RMB,THAAD__deployment,THAAD__incident,Unemployment,Hand_foot_mouth_disease,death_toll,mutation,plague,South_Korea_restriction_order,adenovirus,medicine,hepatitis_B_virus,Vaccination,parade,debt,debt_crisis_,Occupy_Wall_Street,Sino_US_relations,China_EU_Relations,Sino_Japanese_Relations,Sino_Indian_Relations,swine_flu,injection
12-Aug,5140,11353,998,0,5148,8314,20563,39416,116,0,1682,0,0,188,57,6426,1474,7779,7961,38105,26566,5857,711027,12765,1833,24501,34087,96539,80167,35296,5455,19727,3662,6867,3994,23347,7174,720769,22399,3310,4316,14936,8079,50661,0,24401,4650,7882,10143,8258,7100,6230,11361,3968,65065,25590,5424,0,5942,122,61174,5426,13052,0,3508,119137,0,0,13205,449285,2575,7750,12146,0,9164,12525,16553,6197,13461,6782,7422,15501,49043,5000,37032,10514,12119,8452
12-Sep,6181,10740,446,0,4667,8118,21026,38193,584,0,1421,0,0,896,0,6296,1289,7185,6890,30071,22093,5660,456378,11043,524,24653,33362,93262,74962,26704,5560,18507,3458,6207,3482,27970,6908,690198,17989,2992,4868,13142,7764,48471,0,22902,3908,7530,8314,7633,6353,5671,9583,4113,54788,22828,5555,0,4489,122,65525,4950,10091,61,3423,101536,0,0,12522,331579,2644,7976,11723,0,6545,11157,14411,6305,10398,7227,7439,9541,39642,4327,33537,9180,11336,8149
12-Oct,4881,9936,1626,0,4717,8156,12324,118345,641,0,2364,0,0,29854,482,7368,1393,7950,3750,25001,17509,4828,683470,12669,0,26803,38437,92321,83082,26556,3776,15920,3326,5563,1970,27113,8838,828009,16037,3171,3804,10471,7735,46116,0,23778,4469,8007,6498,7363,5478,5769,8600,4334,51089,22530,4243,0,5655,962,45150,4207,10094,61,2727,97384,0,0,11575,201519,8777,6922,12369,0,6677,10675,15861,5807,20692,6236,5582,7995,20172,3528,38888,7604,11480,8706
12-Nov,6027,9168,810,0,4757,8297,12860,147010,633,61,2065,383,0,8784,0,9860,1291,8489,3474,27597,17600,4716,235789,15154,0,23097,33900,85534,90737,21136,4150,16476,3154,5125,1696,27169,8091,956815,18902,3245,3290,10642,7663,46203,0,23162,4450,8264,5757,7290,5698,7483,7268,4689,49347,21505,4395,0,4955,1031,41285,4335,9529,0,2720,105764,0,0,11346,98347,4923,6355,15025,0,6947,10572,21302,5883,155022,6196,5122,7203,22786,2924,46368,7189,10201,8296
12-Dec,5393,9208,1714,0,4494,8696,56980,33518,579,0,2373,0,0,5706,57,6087,1179,8516,4371,22186,26177,5234,476739,16469,61,19536,26110,75880,97002,19192,4198,20363,8053,6108,1566,26760,7199,1010571,19081,3136,3524,12077,7377,37656,0,22559,4313,7578,7174,7185,6076,14116,8022,4493,44223,20618,6369,0,5511,261,45656,4926,10134,0,2756,95038,0,0,10637,93852,2844,6027,10486,0,7556,10721,22713,5556,426676,6192,5304,10765,31818,4049,150474,8506,9559,7481
13-Jan,4262,40065,9363,0,7259,8514,13471,22294,286,0,829,0,0,4390,478,6374,1335,9049,4553,22023,17361,5184,282585,7121,61,23099,22017,65697,145498,18989,4379,17112,3482,5502,3271,22029,5484,1148216,15941,3467,4322,12119,6375,23771,0,14711,4256,7299,6455,6631,10520,23374,40768,4775,42026,18336,6121,0,134708,64,29882,5009,10566,0,2725,95024,0,0,11739,63305,2686,7631,15195,0,11151,9227,15959,5675,8265,6464,5207,6104,21719,3314,68077,7194,11817,7383
13-Feb,4947,9338,1422,0,5162,10463,110529,38020,2947,58,417,179,0,1538,0,5842,1193,23428,5703,23044,23763,5635,441428,6776,1618,23765,15657,78968,124667,16158,4401,18022,7269,6253,1830,27894,7306,978220,15875,5767,3999,12831,7020,29602,0,17671,3728,11876,8350,8026,7123,27951,12118,4039,45923,22360,5373,0,8305,3483,15111,5467,12052,461,4428,108024,0,0,11466,118782,2449,5950,12722,0,10902,9666,16446,5073,8643,9489,6958,7668,20701,3448,41939,7850,8593,7759
13-Mar,4580,10123,1394,0,4889,9659,22132,23790,6148,5732,351,57,0,1489,120,5371,789,17653,5663,24340,22751,6382,743249,7174,1510,19853,14860,74964,118929,16209,4570,17628,7260,5932,4036,26169,6962,897145,21948,5398,4139,14779,6289,26962,0,17002,3936,14691,10556,14952,7125,23443,10408,5569,39591,21176,4912,0,7566,3205,15506,4803,11794,232,4139,116810,0,0,11649,100246,3244,5711,13058,0,7905,9754,16211,5045,9155,7376,4906,6573,26589,4102,57666,7683,7990,7029
13-Apr,4623,15809,3315,0,6845,10664,29604,23176,2868,4058,783,176,0,2114,61,5551,869,12810,7535,23992,21640,5769,291020,7088,943,23582,13804,72330,155185,17870,4707,20721,7269,5850,3607,25819,6599,1649312,17519,5544,4690,15841,6902,29994,0,18835,4018,9317,10026,9628,10160,16705,12909,5966,40586,20433,5923,0,8983,3494,15622,6691,11828,0,4547,113138,0,0,12811,94576,2288,6252,17380,0,8640,10635,17635,6070,10204,8500,5275,7108,36087,4901,62322,9055,10288,7798
13-May,3534,9028,1987,0,5122,6753,9904,18262,400,0,660,0,0,3612,347,5556,616,5689,8401,18144,13336,3899,513646,5523,0,16187,24296,61011,88949,17040,2497,11691,5007,3859,775,19387,4437,947934,12213,4151,2971,9669,5452,17885,0,11428,3346,6999,5094,6018,5584,8398,12172,4082,40705,16258,3434,0,14574,61,16088,4220,8602,61,2366,96472,0,0,8005,46926,2783,5800,12023,0,6806,7403,14605,5056,6400,5230,3751,5266,13372,2346,39384,5052,6904,6775
