,dna病毒,h1n1,h3n2,m1病毒,奥司他韦,爆发,产能过剩,朝鲜核问题,传染病,次贷危机,次级贷款,地震,地质灾害,对华战争,发热,反恐,房地产,感冒,感染,股价指数,关税,冠状病毒,国际恐怖主义,黑死病,呼吸器,华为,火山爆发,货币贬值,货币危机,脊髓灰质炎,金融风暴,金融危机,禁韩令,经济危机,军团菌肺炎,流感病毒,流感疫苗,流感症状,流行病毒,麻疹,贸易,贸易赤字,贸易战,孟晚舟,欧债危机,禽流感病毒,圈地运动,全球股灾,全球金融危机,人民币,萨德部署,萨德事件,失业,手足口病,死亡人数,突变,瘟疫,限韩令,腺病毒,药物,乙肝病毒,疫苗接种,游行,债务,债务危机,占领华尔街,中美关系,中欧关系,中日关系,中印关系,猪流感,注射
,DNA_virus,h1n1,h3n2,M1_virus,Oseltamivir,burst,excess_production_capacity,North_Korea_nuclear_issue,Infectious_Diseases,subprime_crisis_,Subprime_loans,earthquake,geologic_hazard_,The_war_against_China,fever,counter-terrorism,real_estate,cold,Infected,Stock_index,tariff,coronavirus,international_terrorism,Black_Death,respirator,Huawei,Volcano_eruption,currency_devaluation,Currency_crisis,poliomyelitis,financial_crisis_,financial_crisis,Ban_on_Korea,economic_crisis,legionaires_disease_,influenza_virus,influenza_vaccine,Flu_symptoms,Epidemic_virus,measles,Trade,trade_deficit,trade_war,Meng_Wanzhou,European_debt_crisis,Avian_influenza_virus,Enclosure_movement,Global_stock_market_crash,Global_financial_crisis,RMB,THAAD_deployment,THAAD_incident,Unemployment,Hand_foot_mouth_disease,death_toll,mutation,plague,South_Korea_restriction_order,adenovirus,medicine,hepatitis_B_virus,Vaccination,parade,debt,debt_crisis_,Occupy_Wall_Street,Sino_US_relations,China_EU_Relations,Sino_Japanese_Relations,Sino_Indian_Relations,swine_flu,injection
13-Dec,5600,8670,602,0,5049,9449,9356,4768,19539,21923,5148,282871,6227,366,23163,15877,69465,107678,14887,4003,17151,6854,828,26231,6231,1117197,14824,5823,3318,13465,6986,29536,0,18402,4267,6583,14175,11093,3678,51753,19466,5516,0,10252,12513,5107,10258,286,4161,97559,0,0,10616,146227,2503,5558,11995,0,12462,9866,15454,5426,8892,8087,4648,8622,13779,2425,35777,6044,6573,7777
14-Jan,4883,30806,4503,0,13976,10465,10289,4649,18902,15346,4848,156208,5895,177,26590,16709,60737,163688,15719,3286,16148,6903,1332,24989,5203,1764048,16282,5405,3512,11478,6328,20651,0,13346,4091,11547,13612,22979,5143,58936,17189,5013,0,15547,10108,8382,10111,0,3357,114813,0,0,10707,67442,2207,5897,17112,0,9108,9192,17108,4488,9140,8260,4541,5771,15942,3087,54312,5721,12821,8484
14-Feb,6929,9988,624,71293,6239,10940,9891,5035,34184,25972,6393,310683,6935,728,23959,16894,92031,124061,25948,4269,21516,7668,2846,70299,7335,2526064,31694,7288,4092,13863,8011,27450,0,19417,3998,7470,28601,6029,6337,51459,19485,5414,0,28707,12008,5641,12401,61,4478,133492,0,0,12079,208571,2490,5671,21273,0,10228,10193,20372,6533,8780,7895,4746,38891,22279,3814,36001,7646,9192,8845
14-Mar,5863,9483,2178,10799,6429,9873,11250,5237,26563,23976,6432,519815,7339,1952,20674,17578,83110,131972,30434,4594,25690,10142,4213,72701,7302,2410153,31655,8146,4013,16741,7749,32167,0,20443,3539,8557,21973,8203,4856,42232,19106,5645,0,27900,12170,5459,11989,0,4550,162132,0,0,13582,145191,2451,6457,17911,0,8603,10306,19860,6125,7200,7438,4767,12953,31027,4113,52283,7450,8266,8423
14-Apr,5222,11972,11047,6463,10445,10285,12310,5814,27296,22891,5943,173788,7641,2205,25171,20337,106852,189431,24020,5366,24217,10462,4427,76251,7617,2747536,28229,18530,4768,18000,8373,41666,0,23913,4083,13212,19373,22086,4954,44377,18861,5885,0,25543,13272,5488,12855,0,4621,211154,0,0,17589,108219,2470,6386,16955,0,9115,10553,20789,5880,7363,7564,5204,9036,34194,5393,46041,8452,10107,8552
14-May,4425,25544,2301,0,9349,9029,9315,4013,18041,16801,4570,156922,5424,0,18404,14382,92662,95234,16622,2561,14006,5510,1116,27158,4937,1702053,20967,6718,2897,10880,6448,22268,0,13625,3383,7200,9266,13242,4516,47704,18215,3667,0,12939,8146,6825,9303,0,3127,123833,0,0,9425,60200,1847,5670,16278,0,8937,9199,16404,4622,7824,6723,3772,5758,14399,2655,43224,4739,9184,7777
14-Jun,5325,12814,2436,0,8073,10876,12977,4820,19844,23231,5816,206560,7213,487,22873,29378,99287,124786,41409,4207,19090,7139,3268,30841,6506,2067032,20710,7683,4251,14051,6613,25503,0,16080,4095,7816,9065,12234,4905,101480,23035,5399,0,20783,12350,5784,13689,58,4256,152700,0,0,12764,254745,3461,6976,17375,124,11125,10938,18647,5482,11475,8365,4933,7259,20846,4278,37153,5844,8291,9285
14-Jul,5476,10325,2335,0,6818,10648,12056,5008,23594,20573,5998,392022,8736,1091,21046,18685,87012,97641,47286,4271,18895,8477,2202,32945,6858,2077024,21916,6640,3967,13808,6279,24475,0,16834,4060,7362,7873,9100,5070,97775,20459,4734,0,21396,11089,5322,13462,0,4388,129735,0,0,11851,491657,2544,6290,15074,0,13026,10256,18537,5291,10154,8533,4736,6857,29904,4929,44226,6944,7467,8951
14-Aug,5830,10106,1472,0,6597,10584,11752,5190,24639,22506,5977,199669,9564,2025,24021,34196,105660,95641,37744,4278,19723,11020,3140,40434,7332,2091410,26560,6685,4324,15993,7231,29602,0,19323,4347,7720,7016,7890,5456,95991,22262,4710,0,23628,12043,5351,13255,0,4470,124963,0,0,13300,716542,2848,6771,16537,0,13398,11029,19474,5914,9228,8943,5192,6437,38298,5101,45854,8096,7028,10312
14-Sep,5230,8863,1482,0,6375,10469,10299,4881,23902,19357,5680,113419,8131,704,24973,28943,86933,89236,38625,4421,18445,8188,2989,30855,7682,1754501,19667,6083,4296,13525,6773,23185,0,16363,4106,7152,6143,6544,5219,78314,20982,5148,0,24245,10487,4545,11284,0,3955,111855,0,0,13141,525511,2420,6325,17512,0,9834,10493,18417,5578,7628,7913,4965,6265,33706,5413,45786,8307,6491,9384
